ID,City,Prefecture,Date,Species,Susceptibles,Cases,Deaths,Geo_Lookup,Latitude,Longitude
12.1,Seki,Gifu,2019-01-03,Wild boar:Sus scrofa(Suidae),0,1,0,Seki Gifu,35.4958031,136.9181482
12.2,Kakamigahara,Gifu,2019-01-08,Wild boar:Sus scrofa(Suidae),0,1,0,Kakamigahara Gifu,35.3995831,136.8485648
13.1,Kawabe,Gifu,2019-01-14,Wild boar:Sus scrofa(Suidae),0,1,0,Kawabe Gifu,35.4865125,137.0681577
13.2,Seki,Gifu,2019-01-14,Wild boar:Sus scrofa(Suidae),0,1,0,Seki Gifu,35.4958031,136.9181482
13.3,Gifu,Gifu,2019-01-15,Wild boar:Sus scrofa(Suidae),0,1,0,Gifu Gifu,35.4230949,136.7627526
13.4,Yamagata,Gifu,2019-01-15,Wild boar:Sus scrofa(Suidae),0,1,0,Yamagata Gifu,35.4094858,136.7569769
13.5,Tajimi,Gifu,2019-01-15,Wild boar:Sus scrofa(Suidae),0,1,0,Tajimi Gifu,35.3357572,137.127762
13.6,Yaotsu,Gifu,2019-01-16,Wild boar:Sus scrofa(Suidae),0,1,1,Yaotsu Gifu,35.4755935,137.141068
13.7,Inuyama,Aichi,2019-01-16,Wild boar:Sus scrofa(Suidae),0,2,0,Inuyama Aichi,35.360969,136.984018
13.8,Kani,Gifu,2019-01-17,Wild boar:Sus scrofa(Suidae),0,1,1,Kani Gifu,35.4261093,137.0613166
14.1,Kakamigahara,Gifu,2019-01-18,Wild boar:Sus scrofa(Suidae),0,1,1,Kakamigahara Gifu,35.3995831,136.8485648
14.2,Mitake,Gifu,2019-01-19,Wild boar:Sus scrofa(Suidae),0,1,0,Mitake Gifu,35.4316129,137.1295844
